,length,diameter,mass,motor_thrust,burn_time,cg,cp,material,wind_speed,temperature,humidity,stable
102,58.29,7.01,809.5,100.5,0.86,33.62,35.88,0,9.0,24.6,40.3,1
179,42.38,5.33,758.2,146.2,1.69,21.54,32.97,2,18.1,32.7,30.1,1
92,98.47,8.85,777.4,126.1,2.16,51.36,75.85,0,17.4,17.7,72.9,1
14,46.36,8.13,1131.8,181.0,2.24,25.09,37.46,1,27.5,17.5,32.6,0
106,66.93,6.86,1410.9,98.4,2.13,32.08,54.5,0,3.6,14.7,31.0,1
71,47.88,8.77,1469.9,184.5,1.04,21.39,41.08,2,12.0,25.3,36.5,1
188,77.67,8.38,628.0,119.3,0.99,35.74,69.2,0,8.9,14.1,78.1,1
20,85.07,7.77,1291.6,77.7,2.11,45.89,75.31,1,3.4,15.7,34.2,1
102,58.29,7.01,809.5,100.5,0.86,33.62,35.88,0,9.0,24.6,40.3,1
121,110.65,8.14,880.9,77.2,1.47,65.41,71.69,2,3.5,30.1,70.8,1
210,53.936828500601315,8.691583676452844,1460.4212431655512,66.3084290714985,1.2607833138861697,26.271387847981302,34.19895696364944,0,16.72741598601594,11.245934447409953,41.953171653634854,0
214,32.47595498593304,7.125486314542542,817.357978991011,57.691745573769566,2.3740549144368557,14.43667929180313,23.61059692014785,1,6.754221901638694,24.862385954521177,30.021285939713856,0
74,93.62,6.82,1027.7,111.6,0.55,55.94,69.67,1,18.5,39.7,78.5,1
202,30.671729640626104,9.068134878651033,546.6485925114862,63.20864067723264,1.77180039134669,12.781059762909674,25.405934065854062,0,11.75598374406057,21.432003612430986,37.120653320741084,0
87,87.38,7.03,781.0,92.0,0.98,37.87,61.62,2,11.4,33.5,25.2,1
116,102.33,6.16,876.5,174.6,1.09,42.8,77.56,1,25.9,37.8,52.6,0
99,39.71,4.05,1486.2,122.2,0.67,18.66,32.24,0,12.7,13.8,28.7,1
103,75.77,7.64,1313.8,70.2,1.67,44.37,57.77,0,29.4,37.6,38.5,0
151,51.56,9.07,1352.2,191.0,1.83,29.26,39.89,1,28.7,12.8,53.2,0
130,67.57,5.81,1312.9,74.6,0.78,36.8,51.8,0,28.3,26.7,37.4,0
