rocket_length_cm,rocket_diameter_cm,total_mass_g,motor_type,thrust_N,burn_time_s,wind_speed_mps,angle_of_launch_deg,center_of_mass_cm,center_of_pressure_cm,stable
74.94,3.89,671.1,C,80.54,2.26,9.47,77.6,57.48,15.88,0
144.09,6.56,644.6,A,80.54,3.88,4.06,78.5,68.99,113.13,1
117.84,9.05,1831.3,E,80.54,1.06,3.73,82.4,30.99,68.29,1
101.84,7.99,649.2,F,80.54,3.98,14.13,88.7,87.8,77.64,0
48.72,8.55,689.5,C,80.54,1.57,4.47,78.2,37.84,63.07,1
48.72,7.44,1566.9,B,80.54,3.55,11.63,77.2,72.47,20.3,0
36.97,7.69,1009.5,C,80.54,3.05,5.9,86.4,11.45,94.49,1
133.94,8.87,1598.1,C,80.54,4.68,2.09,82.5,43.54,92.19,1
102.13,4.37,317.7,B,80.54,2.24,0.16,88.7,41.65,44.29,1
114.97,6.17,1077.6,D,80.54,0.8,8.16,77.2,58.91,43.69,0
32.47,4.16,260.5,D,80.54,0.59,14.64,84.7,16.55,102.16,1
146.39,9.91,312.8,A,80.54,4.22,5.54,78.5,81.11,17.96,0
129.89,9.58,1831.6,A,80.54,2.86,5.36,77.4,29.6,106.92,1
55.48,2.8,450.6,D,80.54,3.99,5.16,85.3,70.93,38.23,0
51.82,7.79,1158.4,F,80.54,1.55,7.81,83.9,82.29,75.23,0
52.01,9.44,940.0,E,80.54,2.05,6.61,86.3,60.57,112.96,1
66.51,3.85,825.2,C,80.54,0.64,13.2,79.6,76.68,84.59,1
92.97,6.76,1819.7,E,80.54,4.83,7.58,81.7,69.57,55.59,0
81.83,9.37,239.3,C,80.54,3.51,7.62,81.1,42.0,85.85,1
64.95,2.75,1394.8,D,80.54,4.7,2.08,89.8,82.8,47.84,0
103.42,7.73,1934.1,A,80.54,1.69,14.74,79.4,36.52,40.5,1
46.74,4.73,1208.3,F,80.54,3.25,3.75,79.4,61.41,119.64,1
65.06,9.43,1886.3,A,80.54,3.55,1.1,80.3,77.09,92.59,1
73.96,9.78,294.1,E,80.54,1.93,9.95,83.5,44.11,80.92,1
84.73,9.58,953.8,A,80.54,4.32,8.93,78.8,37.25,49.08,1
124.22,6.06,668.3,D,80.54,4.76,6.23,88.7,51.34,15.41,0
53.96,8.97,1515.5,F,80.54,4.48,6.33,79.0,83.62,13.42,0
91.71,8.83,1966.3,E,80.54,3.83,11.78,88.4,93.69,70.96,0
101.09,4.89,661.8,F,80.54,1.75,2.94,76.6,59.06,93.82,1
35.57,8.72,1377.5,C,80.54,1.77,12.3,84.8,69.53,69.11,0
102.91,2.78,556.6,A,80.54,4.84,9.73,88.6,91.29,102.49,1
50.46,6.97,1217.6,F,80.54,0.55,6.28,77.5,18.87,13.68,0
37.81,4.23,1035.1,B,80.54,3.72,6.87,89.5,30.89,50.34,1
143.87,3.4,1949.6,A,80.54,3.68,3.85,81.8,73.8,36.08,0
145.88,3.08,1295.3,C,80.54,3.3,11.28,89.2,84.14,59.2,0
127.01,7.72,829.1,F,80.54,4.96,7.69,85.2,87.13,17.96,0
66.55,5.05,405.4,E,80.54,1.9,4.81,79.5,47.36,114.95,1
41.72,7.94,472.2,C,80.54,2.03,8.94,77.8,18.04,34.56,1
112.11,2.99,605.6,B,80.54,0.86,14.94,79.6,49.4,111.45,1
82.82,4.86,651.7,F,80.54,2.49,6.53,76.4,30.77,56.85,1
44.64,6.55,1731.1,D,80.54,1.67,13.81,77.2,36.21,118.41,1
89.42,8.43,1210.2,A,80.54,2.05,5.18,76.6,79.5,70.95,0
34.13,4.89,1142.1,E,80.54,4.26,0.82,81.3,16.8,112.39,1
139.12,7.19,406.6,D,80.54,4.71,3.06,86.9,84.48,10.59,0
61.05,9.14,1748.3,F,80.54,1.34,6.28,77.1,48.49,92.31,1
109.5,7.12,1501.1,F,80.54,2.18,3.29,77.0,63.65,109.34,1
67.41,4.25,321.8,C,80.54,4.68,0.0,84.7,18.07,25.37,1
92.41,2.68,1474.1,F,80.54,0.78,13.73,78.0,40.36,20.57,0
95.61,9.03,1178.4,E,80.54,0.92,12.66,76.5,18.07,56.7,1
52.18,2.66,347.1,D,80.54,1.23,11.13,77.5,96.54,112.7,1
146.35,9.06,1024.9,E,80.54,3.18,2.52,88.9,82.65,69.66,0
123.02,6.47,1072.5,B,80.54,1.18,1.81,87.3,51.37,68.02,1
142.74,9.54,498.4,B,80.54,4.86,1.01,80.3,30.12,25.52,0
137.38,8.49,1902.3,A,80.54,2.51,10.86,84.8,94.01,10.09,0
101.75,9.98,1730.0,A,80.54,2.76,13.93,83.1,41.01,99.12,1
140.62,5.13,1404.2,B,80.54,1.61,6.46,85.2,24.49,19.63,0
40.62,8.25,1032.1,F,80.54,2.62,1.79,85.2,60.68,79.72,1
53.52,5.51,941.2,E,80.54,3.48,7.69,84.4,94.94,110.61,1
35.43,6.1,1371.8,B,80.54,3.88,5.23,79.0,10.34,32.95,1
69.04,7.21,1181.8,A,80.54,3.89,5.62,75.6,31.43,83.18,1
76.64,9.05,312.1,B,80.54,3.1,9.32,81.8,94.46,18.66,0
62.56,9.88,1122.5,F,80.54,4.57,10.78,88.4,25.4,76.41,1
129.45,8.26,1651.5,B,80.54,4.18,1.66,83.5,20.19,28.03,1
72.81,5.63,1026.6,E,80.54,3.91,0.53,87.5,61.32,90.95,1
63.71,5.66,293.5,D,80.54,0.75,14.91,89.9,87.57,43.14,0
95.12,8.03,1615.3,F,80.54,0.53,3.49,77.5,52.94,60.97,1
46.91,4.29,562.5,A,80.54,1.46,0.81,85.4,99.51,75.94,0
126.26,3.33,665.5,E,80.54,3.49,2.85,85.1,71.13,28.84,0
38.95,5.16,496.5,B,80.54,2.35,0.58,89.7,16.67,91.58,1
148.43,4.65,794.4,B,80.54,2.31,5.88,89.8,99.35,43.29,0
122.67,4.72,1562.2,D,80.54,4.48,12.04,85.3,46.71,82.86,1
53.85,4.25,1134.9,A,80.54,4.53,5.12,78.7,35.87,27.41,0
30.66,2.82,568.8,A,80.54,4.59,6.66,87.0,60.21,85.69,1
127.86,2.63,1780.1,C,80.54,1.91,10.13,76.6,37.39,24.1,0
114.82,9.91,1783.2,A,80.54,3.61,7.63,86.7,17.78,56.79,1
117.48,5.71,1767.0,D,80.54,1.72,12.92,88.7,10.13,37.19,1
122.55,5.38,629.8,C,80.54,1.36,12.99,80.7,50.46,92.32,1
38.89,7.6,1012.2,C,80.54,1.33,0.15,84.5,85.32,38.82,0
73.02,4.14,1973.0,B,80.54,2.04,11.67,81.5,61.51,106.99,1
43.9,9.62,1589.6,B,80.54,2.43,6.91,81.6,99.93,108.1,1
133.57,8.4,248.9,A,80.54,4.24,14.83,79.7,35.82,31.61,0
104.8,3.17,317.4,C,80.54,1.04,7.25,86.4,35.24,77.52,1
69.71,5.63,1035.1,B,80.54,3.81,14.8,89.0,24.38,19.65,0
37.63,9.09,1836.6,D,80.54,2.89,11.32,89.1,24.77,53.07,1
67.32,9.59,1169.7,B,80.54,1.8,3.73,77.6,35.67,88.47,1
69.02,6.01,1096.1,F,80.54,2.72,8.08,88.1,81.36,82.54,0
117.55,7.1,389.9,F,80.54,1.85,14.88,86.1,91.52,78.72,0
106.51,3.75,1382.2,B,80.54,3.18,12.86,78.8,97.76,41.08,0
136.47,9.93,1679.8,C,80.54,2.45,1.46,76.0,30.91,51.58,1
86.67,4.24,884.8,C,80.54,1.24,10.6,79.0,89.32,21.32,0
44.35,9.57,1596.1,E,80.54,1.02,5.18,88.7,39.54,89.09,1
115.59,7.37,1936.1,F,80.54,2.96,0.1,84.5,20.16,65.43,1
121.29,7.06,566.8,D,80.54,4.56,6.05,85.8,88.3,87.96,0
97.35,6.35,1142.0,C,80.54,2.05,3.52,78.9,67.25,37.38,0
122.52,4.23,716.8,A,80.54,3.8,12.28,85.8,24.83,45.69,1
89.26,3.82,1627.1,F,80.54,3.46,5.06,75.4,48.68,46.76,0
92.73,4.15,1239.7,D,80.54,4.69,12.41,80.6,35.85,12.83,0
81.3,3.9,1342.2,D,80.54,4.19,0.01,84.4,76.31,47.52,0
33.05,8.35,1636.2,C,80.54,3.05,4.62,77.2,50.81,98.36,1
42.95,5.13,912.7,D,80.54,3.46,3.62,87.3,99.04,108.7,1
33.77,2.93,1847.2,C,80.54,4.54,3.5,78.5,14.93,67.0,1
106.37,9.77,1159.5,B,80.54,2.3,1.02,84.8,41.95,60.11,1
67.72,9.13,484.3,F,80.54,1.97,2.81,81.1,53.37,13.39,0
91.03,9.46,1452.6,E,80.54,0.55,8.33,83.9,55.28,106.71,1
138.91,9.96,1627.9,B,80.54,4.22,4.37,76.6,38.43,11.43,0
59.92,3.8,770.2,F,80.54,4.1,6.26,75.3,75.63,113.92,1
79.25,5.47,1742.9,C,80.54,0.97,5.65,88.6,88.73,63.81,0
120.67,8.19,1831.1,F,80.54,3.1,13.14,79.0,94.48,47.61,0
57.46,7.72,698.4,C,80.54,2.59,13.58,87.3,82.46,111.66,1
39.24,3.65,1970.3,B,80.54,1.03,7.39,90.0,86.55,12.68,0
64.77,8.62,453.3,A,80.54,4.91,4.95,78.2,59.55,73.96,1
49.35,4.18,563.6,A,80.54,1.47,1.6,79.0,84.33,70.38,0
141.56,4.18,531.6,F,80.54,0.8,14.3,84.9,37.32,34.13,0
126.97,6.53,1809.2,A,80.54,3.18,0.9,89.5,45.86,57.18,1
106.01,6.95,1377.7,C,80.54,3.82,4.46,88.7,38.52,81.75,1
134.58,6.85,473.8,D,80.54,0.65,4.47,82.5,52.06,89.98,1
126.44,3.19,992.6,C,80.54,3.46,4.81,86.9,35.7,10.08,0
52.39,9.08,1307.5,D,80.54,2.9,2.46,77.0,96.55,113.05,1
137.11,4.49,350.2,B,80.54,0.96,11.75,89.7,38.16,28.1,0
94.72,3.47,1788.3,E,80.54,1.28,1.84,89.5,18.82,35.69,1
126.89,9.17,1646.5,D,80.54,3.06,9.52,77.5,57.41,38.98,0
137.53,9.67,1109.4,A,80.54,1.83,1.86,79.5,15.14,14.16,0
68.16,8.97,1940.8,C,80.54,4.72,1.06,76.5,19.95,23.54,1
43.21,8.57,952.0,B,80.54,4.18,13.64,79.1,29.75,118.5,1
57.35,7.41,1971.4,A,80.54,4.93,2.85,87.2,51.79,44.67,0
81.25,6.63,1402.3,B,80.54,1.67,12.32,80.7,48.99,22.68,0
128.16,3.15,1342.4,E,80.54,4.86,8.17,76.3,81.97,21.77,0
133.29,5.56,498.7,C,80.54,2.44,1.17,80.1,76.55,89.14,1
30.83,5.3,1787.5,F,80.54,2.06,14.33,89.7,48.37,104.0,1
91.29,4.45,969.5,C,80.54,0.73,3.7,84.4,40.03,38.26,0
80.09,7.93,492.0,E,80.54,0.74,12.89,81.2,38.48,12.3,0
56.65,6.22,222.7,C,80.54,3.61,2.53,77.5,79.66,34.54,0
44.38,3.11,1207.6,F,80.54,2.56,12.81,89.8,14.69,16.22,0
70.51,4.15,1149.3,D,80.54,1.52,0.2,87.3,11.15,21.37,1
143.15,7.62,1494.8,B,80.54,3.26,7.68,79.2,81.6,57.47,0
68.78,3.07,1802.5,F,80.54,1.64,11.54,76.1,52.94,35.29,0
92.25,8.88,342.9,A,80.54,3.1,14.02,75.8,21.78,66.75,1
114.36,6.21,1516.7,E,80.54,2.12,13.64,76.8,31.2,37.88,1
73.64,6.1,537.3,D,80.54,4.21,12.29,83.7,93.93,113.46,1
146.61,6.94,1744.7,A,80.54,4.19,13.32,88.9,87.36,109.65,1
145.49,8.69,1674.3,A,80.54,2.65,2.99,82.5,73.88,72.35,0
60.21,5.11,1173.4,E,80.54,2.08,4.26,87.6,53.4,48.99,0
89.67,7.59,1478.4,D,80.54,2.13,4.33,81.7,56.83,51.93,0
66.11,6.74,765.8,A,80.54,4.13,5.66,85.6,97.77,55.3,0
64.18,4.5,1048.1,A,80.54,1.98,5.9,86.0,96.92,90.03,0
34.43,9.09,1678.9,D,80.54,1.44,8.17,77.6,29.37,59.68,1
103.15,8.48,1026.7,C,80.54,0.88,2.4,80.4,83.0,104.24,1
90.32,7.44,844.0,A,80.54,2.6,10.37,84.6,27.75,113.85,1
36.18,8.88,1089.6,B,80.54,2.67,2.51,76.1,29.22,46.95,1
63.44,9.0,1690.8,D,80.54,4.28,4.65,80.4,70.85,71.68,0
138.99,7.81,803.4,A,80.54,1.5,7.55,83.0,46.45,20.46,0
58.75,8.78,512.8,E,80.54,2.21,11.95,89.9,93.84,32.05,0
47.39,7.73,1481.6,F,80.54,4.14,11.09,82.1,18.01,55.48,1
88.73,7.6,1686.8,B,80.54,4.21,9.68,87.2,56.04,32.68,0
148.28,7.14,381.1,F,80.54,2.23,2.34,81.5,92.67,106.42,1
59.05,8.15,631.8,F,80.54,2.57,8.21,86.9,91.37,27.41,0
110.66,3.69,455.5,A,80.54,1.86,1.31,83.9,24.09,60.12,1
121.39,9.11,826.3,B,80.54,4.7,5.66,88.3,43.0,76.63,1
58.52,9.04,1010.6,B,80.54,1.03,6.2,81.2,65.72,86.11,1
117.39,2.72,1547.9,C,80.54,4.7,0.6,84.1,24.35,52.14,1
74.13,8.69,1372.1,F,80.54,3.58,4.11,84.5,97.12,105.6,1
105.88,3.47,1317.7,B,80.54,2.89,14.33,81.3,92.33,72.52,0
106.02,5.01,834.3,C,80.54,0.65,14.3,77.2,25.03,58.35,1
94.29,8.08,1714.6,D,80.54,2.64,5.28,76.4,20.9,17.4,0
40.83,3.71,1048.3,C,80.54,2.33,0.65,75.3,17.69,61.12,1
130.24,8.63,1962.4,E,80.54,1.23,2.69,88.1,91.85,100.28,1
68.49,8.74,1341.5,A,80.54,3.45,5.88,78.5,27.43,77.6,1
52.38,6.31,427.3,D,80.54,4.87,14.22,78.2,47.47,101.54,1
34.89,2.55,1417.1,D,80.54,3.03,2.12,86.0,50.4,64.34,1
100.91,4.65,785.2,E,80.54,3.72,11.45,79.8,63.91,23.03,0
111.31,7.13,1435.4,C,80.54,0.81,1.63,82.6,16.46,11.5,0
31.99,9.86,325.4,A,80.54,2.38,14.72,77.4,30.41,43.35,1
91.45,7.24,514.8,C,80.54,1.02,5.72,89.4,93.83,86.78,0
57.18,4.45,1740.3,B,80.54,3.26,11.63,87.8,91.76,96.93,1
107.42,7.26,608.9,C,80.54,4.72,5.14,88.0,80.32,42.53,0
50.92,6.55,1706.7,D,80.54,3.48,9.42,81.1,11.75,64.52,1
112.91,8.35,702.7,A,80.54,0.85,2.88,86.4,39.43,56.32,1
76.41,3.3,1357.2,C,80.54,2.1,2.19,77.2,66.52,55.16,0
142.41,8.21,1449.5,A,80.54,2.98,14.07,75.1,34.77,35.45,0
46.5,6.56,1122.8,A,80.54,2.31,13.76,75.3,91.86,25.0,0
70.93,9.72,749.6,B,80.54,4.25,13.31,83.8,67.05,31.64,0
43.62,5.06,582.8,B,80.54,4.17,9.38,81.8,16.47,16.09,0
140.96,7.24,259.7,D,80.54,3.25,12.12,82.8,91.81,31.79,0
135.28,9.49,747.1,E,80.54,2.18,1.04,75.1,96.2,11.01,0
60.95,3.27,1375.7,A,80.54,1.65,5.02,81.3,16.99,79.0,1
109.2,9.53,1888.9,E,80.54,0.98,4.71,85.8,57.91,44.8,0
128.07,7.66,1768.2,D,80.54,2.1,9.53,81.6,37.3,117.05,1
96.62,3.01,1578.9,A,80.54,2.36,5.34,86.0,45.36,31.31,0
