# Simulation 2 (Up to date)
# 58 data points written for 7 variables.
#
# Time (s)	Altitude (m)	Vertical velocity (m/s)	CP location (cm)	CG location (cm)	Stability margin calibers (?)	Wind velocity (m/s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0	0	0	NaN	56.124	NaN	NaN
0.01	5.7087e-4	0.11417	NaN	56.124	NaN	NaN
0.02	0.0029204	0.35573	NaN	56.112	NaN	NaN
0.03	0.0074555	0.5513	NaN	56.096	NaN	NaN
0.04	0.0139	0.73752	NaN	56.083	NaN	NaN
# Event LIFTOFF occurred at t=0.05 seconds
0.05	0.022241	0.9308	NaN	56.069	NaN	NaN
0.06	0.032545	1.13	NaN	56.055	NaN	NaN
0.07	0.04487	1.3349	NaN	56.041	NaN	NaN
0.08	0.059271	1.5453	NaN	56.026	NaN	NaN
0.09	0.075805	1.7614	NaN	56.012	NaN	NaN
0.1	0.094522	1.982	NaN	55.997	NaN	NaN
0.11	0.11546	2.205	NaN	55.981	NaN	NaN
0.12	0.13863	2.4303	NaN	55.966	NaN	NaN
0.13	0.16408	2.6587	NaN	55.95	NaN	NaN
0.14	0.19182	2.8906	NaN	55.934	NaN	NaN
0.15	0.2219	3.1246	NaN	55.918	NaN	NaN
0.16	0.25432	3.359	NaN	55.902	NaN	NaN
0.17	0.28908	3.5937	NaN	55.885	NaN	NaN
0.18	0.32619	3.8287	NaN	55.869	NaN	NaN
0.19	0.36566	4.0641	NaN	55.853	NaN	NaN
0.2	0.40747	4.2991	NaN	55.836	NaN	NaN
0.21	0.45163	4.5326	NaN	55.82	NaN	NaN
0.22	0.49812	4.7644	NaN	55.804	NaN	NaN
# Event LAUNCHROD occurred at t=0.23 seconds
0.23	0.54691	4.9934	65.499	55.788	1.327	NaN
0.245	0.6236	5.2327	65.516	55.768	1.3321	NaN
0.2675	0.74517	5.5737	65.545	55.7	1.3453	NaN
0.30125	0.9406	6.0074	65.577	55.673	1.3533	NaN
# Event BURNOUT occurred at t=0.35125 seconds
0.35125	1.2337	5.7165	65.431	55.673	1.3334	NaN
0.40125	1.5089	5.2937	65.262	55.668	1.311	NaN
0.45125	1.763	4.8702	65.246	55.668	1.3088	NaN
0.50125	1.9959	4.4442	65.154	55.668	1.2963	NaN
0.55125	2.2075	4.0223	64.993	55.668	1.2742	NaN
0.60125	2.3982	3.6033	64.953	55.668	1.2688	NaN
0.65125	2.5679	3.1884	64.835	55.668	1.2526	NaN
0.70125	2.7171	2.7817	64.774	55.668	1.2442	NaN
0.75125	2.8461	2.3752	64.834	55.668	1.2525	NaN
0.80125	2.9547	1.9699	64.829	55.668	1.2518	NaN
0.85125	3.0431	1.5659	64.92	55.668	1.2642	NaN
0.90125	3.1112	1.158	65.029	55.668	1.2791	NaN
0.95125	3.1589	0.74789	65.156	55.668	1.2965	NaN
1.0013	3.186	0.33853	65.32	55.668	1.3189	NaN
1.0513	3.1927	-0.072468	65.543	55.668	1.3494	NaN
# Event APOGEE occurred at t=1.1013 seconds
1.1013	3.1787	-0.49012	65.804	55.668	1.385	NaN
1.1513	3.1435	-0.9168	66.081	55.668	1.423	NaN
1.2013	3.0868	-1.3523	66.385	55.668	1.4645	NaN
1.2513	3.0082	-1.7952	66.718	55.668	1.5099	NaN
1.3013	2.9072	-2.2446	67.105	55.668	1.5629	NaN
1.3513	2.7836	-2.6995	67.612	55.668	1.6321	NaN
1.4013	2.6372	-3.16	68.131	55.668	1.7031	NaN
1.4513	2.4675	-3.626	68.618	55.668	1.7696	NaN
1.5013	2.2745	-4.0973	69.409	55.668	1.8777	NaN
1.5513	2.0577	-4.5738	70.169	55.668	1.9816	NaN
1.6013	1.817	-5.0544	70.811	55.668	2.0693	NaN
1.6513	1.5522	-5.5383	71.458	55.668	2.1576	NaN
1.7013	1.2631	-6.0256	70.503	55.668	2.0272	NaN
1.7513	0.94959	-6.5167	69.842	55.668	1.9368	NaN
1.8013	0.61141	-7.0107	69.355	55.668	1.8703	NaN
1.8513	0.24846	-7.5079	68.807	55.668	1.7954	NaN
# Event GROUND_HIT occurred at t=1.9013 seconds
# Event SIMULATION_END occurred at t=1.9013 seconds
