rocket_length_cm,rocket_diameter_cm,total_mass_g,thrust_N,burn_time_s,wind_speed_mps,angle_of_launch_deg,center_of_mass_cm,center_of_pressure_cm,stable,motor_type_A,motor_type_B,motor_type_C,motor_type_D,motor_type_E
88.46,4.63,1191.84,55.5,1.44,3.62,85.33,41.57,64.19,1,0,0,0,0,1
66.79,6.8,1627.93,9.46,0.53,6.02,36.86,21.98,38.56,1,0,1,0,0,0
112.51,5.4,819.94,9.79,3.61,6.39,76.57,61.99,49.15,0,0,1,0,0,0
32.58,8.57,1181.29,28.67,2.47,4.74,80.64,18.22,25.12,1,0,0,0,1,0
111.36,9.12,1779.3,73.3,2.82,0.02,40.8,42.13,51.68,1,0,0,0,0,1
92.41,5.65,1606.23,57.58,0.94,0.25,76.46,47.46,68.21,1,0,0,0,0,1
85.01,3.41,974.52,8.41,0.72,3.73,63.37,44.39,54.33,1,0,1,0,0,0
87.53,7.47,1034.29,59.73,3.9,4.25,44.2,34.08,55.97,1,0,0,0,0,1
57.32,3.03,1790.06,54.41,2.02,5.6,80.07,31.73,45.82,1,0,0,0,0,1
114.25,4.78,415.93,20.83,0.76,7.45,43.41,43.93,56.54,1,0,0,0,1,0
87.61,4.6,778.36,9.24,4.66,3.88,44.42,43.0,61.34,1,0,1,0,0,0
43.97,2.64,1974.99,8.41,3.0,6.11,57.94,13.9,25.88,1,0,1,0,0,0
119.52,5.13,514.87,3.22,1.26,4.43,51.67,58.31,50.67,0,1,0,0,0,0
96.56,2.54,1169.65,36.65,3.79,4.11,44.73,66.92,67.4,0,0,0,0,1,0
85.2,8.13,1556.17,29.93,1.73,3.01,39.15,52.36,55.56,1,0,0,0,1,0
119.46,5.7,1327.09,49.74,4.18,8.93,63.27,62.1,87.53,1,0,0,0,0,1
72.1,5.84,778.69,9.5,1.66,8.0,87.66,44.93,38.47,0,0,1,0,0,0
108.29,4.02,1191.14,50.14,2.82,5.02,74.07,67.88,56.52,0,0,0,0,0,1
81.69,9.68,987.89,11.23,4.81,7.94,48.43,27.76,33.37,1,0,0,1,0,0
44.12,9.13,964.91,4.6,1.61,8.07,72.55,21.51,17.67,0,1,0,0,0,0
56.73,7.78,274.08,4.57,4.31,5.74,54.1,37.38,26.08,0,1,0,0,0,0
64.96,3.18,863.98,7.61,1.06,7.41,62.79,22.17,35.94,1,0,1,0,0,0
81.84,7.95,1150.22,2.95,4.26,7.38,32.16,53.57,58.31,1,1,0,0,0,0
34.09,8.52,991.99,8.18,3.77,6.18,35.26,23.72,23.09,0,0,1,0,0,0
51.32,2.17,1338.59,19.77,3.09,7.95,42.59,20.98,30.69,1,0,0,1,0,0
116.1,6.75,999.59,14.14,4.7,9.58,79.18,65.5,66.48,0,0,0,1,0,0
60.47,7.03,1516.52,12.02,4.29,4.22,36.81,20.93,32.61,1,0,0,1,0,0
68.83,4.17,1948.27,33.06,4.92,5.2,60.61,22.46,30.71,1,0,0,0,1,0
53.06,8.77,1293.67,35.55,4.71,8.72,60.12,27.83,33.3,1,0,0,0,1,0
51.74,8.1,838.25,7.35,3.18,7.88,75.73,16.76,26.18,1,0,1,0,0,0
119.05,3.08,1720.17,18.62,2.76,5.98,87.31,62.36,88.26,1,0,0,1,0,0
71.95,2.34,1378.2,3.18,5.0,1.12,60.15,47.85,52.69,1,1,0,0,0,0
88.06,9.5,1471.16,2.95,4.25,3.13,56.52,26.74,42.69,1,1,0,0,0,0
118.86,3.03,1284.77,26.33,1.61,3.41,70.02,77.88,70.28,0,0,0,0,1,0
45.69,2.21,425.92,43.6,1.24,2.29,30.89,16.64,26.09,1,0,0,0,0,1
38.83,3.54,1104.89,41.68,1.27,9.97,36.59,16.28,23.4,1,0,0,0,0,1
54.17,2.36,1604.22,58.78,3.79,2.68,58.0,23.01,29.48,1,0,0,0,0,1
106.01,7.34,638.51,3.0,2.22,7.57,52.91,56.49,66.23,1,1,0,0,0,0
34.09,5.36,1534.39,16.9,1.78,5.14,79.08,12.23,15.61,1,0,0,1,0,0
32.13,4.97,652.98,45.91,4.5,8.53,59.36,19.24,15.83,0,0,0,0,0,1
32.13,4.54,221.12,31.31,3.59,3.7,39.18,14.98,18.57,1,0,0,0,1,0
55.48,6.13,920.1,21.2,3.17,3.71,85.97,37.32,33.2,0,0,0,0,1,0
105.27,5.17,203.32,77.94,2.43,9.07,88.56,53.41,43.92,0,0,0,0,0,1
82.31,7.12,297.75,31.74,4.94,5.28,33.51,53.73,40.54,0,0,0,0,1,0
72.41,9.13,1771.24,9.96,2.35,1.84,78.14,34.03,51.1,1,0,1,0,0,0
68.93,3.4,295.38,2.17,1.03,8.96,82.03,22.84,53.24,1,1,0,0,0,0
101.66,9.81,1214.26,24.2,1.77,9.16,49.68,35.51,71.75,1,0,0,0,1,0
64.05,2.55,623.18,46.16,3.32,5.48,36.19,24.61,51.04,1,0,0,0,0,1
43.09,8.68,403.71,15.27,4.15,5.56,82.48,22.32,26.37,1,0,0,1,0,0
106.47,9.65,228.91,19.19,3.44,3.12,88.41,62.62,81.23,1,0,0,1,0,0
116.96,5.96,1745.69,56.85,1.59,5.44,41.7,65.23,85.37,1,0,0,0,0,1
50.59,8.24,690.09,79.31,4.79,6.08,59.06,33.09,22.47,0,0,0,0,0,1
69.52,7.31,1653.76,20.64,4.99,2.84,88.42,24.43,52.37,1,0,0,0,1,0
40.23,2.28,1984.88,6.49,4.32,9.47,34.82,15.15,30.46,1,0,1,0,0,0
99.94,4.02,614.03,11.94,2.47,1.06,73.64,45.4,67.82,1,0,0,1,0,0
75.14,2.22,388.96,58.43,2.13,6.93,75.28,51.66,38.91,0,0,0,0,0,1
45.27,2.67,1039.01,2.26,4.24,5.35,42.52,25.99,28.75,1,1,0,0,0,0
50.8,3.53,215.58,35.78,0.91,1.42,60.72,26.92,22.45,0,0,0,0,1,0
99.25,2.88,1356.27,13.82,0.83,5.77,77.46,44.8,55.93,1,0,0,1,0,0
106.18,9.39,1243.68,65.0,4.07,7.9,61.44,42.49,64.13,1,0,0,0,0,1
107.01,8.3,499.79,29.24,2.86,0.13,31.88,56.32,79.54,1,0,0,0,1,0
85.8,9.36,468.43,38.28,3.47,6.12,33.81,48.54,42.69,0,0,0,0,1,0
39.96,9.48,346.97,3.58,2.65,7.91,57.83,26.88,21.2,0,1,0,0,0,0
33.53,2.59,461.03,13.52,3.84,5.06,74.21,16.66,26.29,1,0,0,1,0,0
52.47,7.5,1453.2,77.22,3.3,5.88,32.83,24.66,36.21,1,0,0,0,0,1
38.62,3.51,1075.25,13.76,0.73,6.25,86.0,14.15,28.74,1,0,0,1,0,0
34.43,2.36,1525.17,31.11,4.7,2.86,89.03,17.22,14.39,0,0,0,0,1,0
38.91,3.29,263.52,48.12,3.38,0.24,67.57,16.33,22.2,1,0,0,0,0,1
45.19,7.25,1146.88,39.27,0.81,1.22,33.95,13.71,34.13,1,0,0,0,1,0
69.43,4.32,1884.1,25.49,2.02,5.41,73.89,41.06,29.94,0,0,0,0,1,0
61.25,3.17,207.74,46.0,2.63,0.35,33.66,21.08,44.25,1,0,0,0,0,1
50.16,7.41,545.04,25.11,4.12,6.38,32.83,19.98,31.13,1,0,0,0,1,0
37.74,8.89,808.04,7.04,1.44,5.94,43.15,17.46,23.97,1,0,1,0,0,0
61.77,6.17,614.78,2.27,2.0,1.69,83.0,27.64,32.63,1,1,0,0,0,0
111.51,3.24,1021.11,35.99,3.15,8.92,55.41,40.89,73.08,1,0,0,0,1,0
68.16,8.42,725.07,7.15,3.99,4.7,70.82,40.59,51.85,1,0,1,0,0,0
95.78,6.45,856.84,28.53,1.4,2.78,77.97,63.62,69.11,1,0,0,0,1,0
81.21,8.42,1765.27,36.42,1.35,8.39,89.2,53.66,60.34,1,0,0,0,1,0
88.63,7.04,726.88,63.54,2.11,4.65,60.16,29.18,46.13,1,0,0,0,0,1
41.13,3.48,1697.87,18.72,1.28,0.93,61.46,21.71,21.14,0,0,0,1,0,0
35.08,7.64,1826.62,3.83,0.58,9.06,35.94,15.99,19.25,1,1,0,0,0,0
63.67,6.68,966.23,4.51,1.92,9.28,49.58,32.62,36.87,1,1,0,0,0,0
88.41,5.24,1362.13,24.48,4.4,7.36,30.01,58.56,46.95,0,0,0,0,1,0
46.76,9.56,1823.17,27.7,1.47,9.06,58.83,17.47,26.43,1,0,0,0,1,0
97.09,3.49,1229.81,53.96,2.64,0.42,72.1,57.58,52.22,0,0,0,0,0,1
114.18,3.48,1436.0,21.94,4.53,4.49,80.47,62.52,59.82,0,0,0,0,1,0
69.92,7.87,1790.27,31.71,3.53,0.88,80.12,37.11,33.88,0,0,0,0,1,0
62.38,7.33,1033.26,59.78,1.37,7.49,47.87,34.41,48.47,1,0,0,0,0,1
99.68,2.98,1778.84,70.78,2.66,5.93,45.0,55.31,70.48,1,0,0,0,0,1
76.8,2.75,1986.85,10.58,4.85,5.83,54.48,36.71,43.05,1,0,0,1,0,0
55.9,9.39,985.35,57.6,1.39,9.92,56.9,19.9,34.1,1,0,0,0,0,1
106.91,9.18,821.14,11.05,4.82,0.18,39.49,51.01,49.43,0,0,0,1,0,0
32.35,3.83,364.69,57.04,4.41,5.26,71.63,20.02,17.98,0,0,0,0,0,1
109.91,3.92,998.54,18.88,4.95,3.26,82.34,40.34,49.71,1,0,0,1,0,0
51.54,6.51,1843.96,72.57,3.39,8.13,77.9,24.42,26.88,1,0,0,0,0,1
86.69,7.93,1258.81,78.6,4.6,3.83,74.09,32.22,34.72,1,0,0,0,0,1
34.59,2.65,583.91,8.55,2.54,7.17,47.52,12.32,22.84,1,0,1,0,0,0
112.55,3.47,750.07,36.89,4.81,3.5,31.28,69.16,87.37,1,0,0,0,1,0
37.16,5.46,1368.68,78.13,1.06,5.65,60.27,15.07,23.26,1,0,0,0,0,1
110.91,6.45,1946.88,22.71,4.04,5.03,86.95,64.05,45.85,0,0,0,0,1,0
40.98,2.62,1267.02,17.53,4.08,1.13,61.82,17.46,24.78,1,0,0,1,0,0
51.97,2.71,1498.23,6.41,1.51,0.19,46.02,18.26,37.46,1,0,1,0,0,0
36.16,9.33,1918.73,39.77,2.18,1.79,52.45,21.1,14.85,0,0,0,0,1,0
66.32,9.73,453.67,71.26,1.21,1.28,32.2,38.57,38.06,0,0,0,0,0,1
94.2,2.94,559.94,58.49,4.95,3.92,47.94,49.72,56.94,1,0,0,0,0,1
119.31,5.6,1386.18,36.01,2.93,8.7,79.17,54.59,74.56,1,0,0,0,1,0
35.28,7.09,1940.16,58.44,4.48,2.81,64.06,18.13,25.1,1,0,0,0,0,1
61.47,2.45,1967.26,17.26,3.35,8.46,72.1,31.18,31.17,0,0,0,1,0,0
104.24,9.51,1879.75,7.76,1.44,8.34,63.77,64.65,49.36,0,0,1,0,0,0
33.06,9.47,246.12,79.58,4.53,9.18,82.88,22.19,15.17,0,0,0,0,0,1
93.67,8.24,1061.89,12.72,2.26,9.64,65.58,34.2,57.88,1,0,0,1,0,0
108.58,9.28,1339.15,16.02,3.82,7.93,87.43,71.23,44.65,0,0,0,1,0,0
31.36,3.73,884.17,4.65,1.9,2.32,36.01,16.45,14.53,0,1,0,0,0,0
104.26,7.49,1919.45,26.41,1.0,2.31,47.99,58.07,59.96,1,0,0,0,1,0
92.02,7.27,957.01,2.05,4.11,2.17,62.24,36.71,46.74,1,1,0,0,0,0
104.37,6.45,1172.45,4.79,3.02,9.52,60.85,72.15,42.9,0,1,0,0,0,0
104.91,8.66,214.33,17.34,3.44,7.07,65.3,51.2,75.46,1,0,0,1,0,0
44.05,6.33,1196.85,34.23,1.47,3.6,84.46,23.66,31.37,1,0,0,0,1,0
48.64,4.15,1276.28,10.22,2.36,2.61,87.41,24.38,34.45,1,0,0,1,0,0
86.9,7.76,762.21,5.61,4.98,7.23,85.21,53.66,49.97,0,0,1,0,0,0
76.99,4.87,921.12,14.64,2.09,3.8,54.41,49.59,49.34,0,0,0,1,0,0
62.39,6.96,1434.99,5.64,2.44,1.82,54.53,38.71,32.04,0,0,1,0,0,0
106.75,8.33,494.46,6.48,3.12,4.14,86.77,68.14,43.63,0,0,1,0,0,0
112.37,3.24,1627.39,5.88,1.13,1.52,82.68,52.19,49.39,0,0,1,0,0,0
61.06,6.12,1682.79,22.05,1.31,6.59,82.16,33.97,43.15,1,0,0,0,1,0
100.29,9.29,1352.23,17.67,1.13,4.82,66.22,52.2,50.77,0,0,0,1,0,0
36.09,4.3,1121.52,17.18,1.95,9.36,54.98,22.48,28.54,1,0,0,1,0,0
30.32,9.4,1111.57,10.98,1.43,8.14,35.26,17.22,12.38,0,0,0,1,0,0
82.53,7.21,682.45,50.62,1.2,9.33,77.85,47.68,65.06,1,0,0,0,0,1
69.29,3.02,1578.71,2.32,3.98,8.68,77.99,43.29,44.31,0,1,0,0,0,0
79.14,7.5,693.84,3.8,1.91,5.12,69.86,45.38,52.95,1,1,0,0,0,0
59.73,2.32,1269.09,40.22,3.08,0.64,45.72,21.66,47.28,1,0,0,0,0,1
101.59,5.01,662.81,50.99,3.05,6.49,85.4,52.48,51.62,0,0,0,0,0,1
95.89,3.42,1331.92,2.55,0.64,1.28,62.26,51.6,65.92,1,1,0,0,0,0
82.39,5.43,360.21,22.51,3.32,2.13,87.03,48.17,60.49,1,0,0,0,1,0
31.75,6.43,906.45,7.28,3.93,3.41,53.65,10.88,15.26,1,0,1,0,0,0
92.27,9.75,1024.16,41.44,4.03,0.26,83.92,27.83,58.24,1,0,0,0,0,1
52.67,9.02,383.35,47.73,4.64,5.18,36.55,17.74,22.39,1,0,0,0,0,1
87.51,7.57,651.18,14.08,0.7,3.25,73.22,39.07,40.06,0,0,0,1,0,0
45.02,2.1,263.05,17.91,4.07,2.3,63.87,14.87,22.15,1,0,0,1,0,0
36.42,9.12,266.11,24.84,3.13,3.21,36.28,15.1,27.38,1,0,0,0,1,0
78.02,6.75,573.45,48.88,2.06,6.31,52.04,32.55,38.26,1,0,0,0,0,1
102.32,8.59,1624.07,35.14,4.88,9.52,38.23,56.06,60.12,1,0,0,0,1,0
119.44,4.64,912.6,31.43,1.36,4.18,59.22,49.59,84.54,1,0,0,0,1,0
113.71,3.35,1788.35,3.03,2.94,3.52,52.61,62.88,61.14,0,1,0,0,0,0
102.09,5.96,1381.18,9.85,2.51,6.58,89.81,45.09,52.82,1,0,1,0,0,0
118.92,8.78,1293.41,28.09,3.14,8.11,83.32,78.01,71.77,0,0,0,0,1,0
65.7,3.25,1487.94,76.33,0.68,6.75,32.91,31.03,44.62,1,0,0,0,0,1
45.53,9.4,985.84,14.08,4.65,6.76,82.6,27.49,26.71,0,0,0,1,0,0
48.18,2.0,326.84,34.79,1.49,8.59,57.22,17.48,28.69,1,0,0,0,1,0
115.29,6.77,1273.75,33.54,1.79,3.36,64.96,43.07,86.87,1,0,0,0,1,0
48.33,2.04,899.06,65.77,4.74,2.94,39.87,22.68,19.66,0,0,0,0,0,1
55.54,9.92,513.99,4.81,3.65,7.17,60.35,24.73,23.93,0,1,0,0,0,0
84.58,6.49,1966.86,10.75,1.94,3.44,55.04,54.46,34.1,0,0,0,1,0,0
30.69,2.44,1218.85,13.13,1.69,4.97,30.73,17.99,23.74,1,0,0,1,0,0
72.46,3.71,1860.03,9.78,2.46,6.23,80.81,32.8,39.46,1,0,1,0,0,0
42.55,7.98,685.45,2.12,4.05,3.7,72.97,29.62,19.44,0,1,0,0,0,0
87.97,4.01,663.65,8.5,4.11,9.32,82.23,44.15,37.5,0,0,1,0,0,0
65.3,7.29,1697.46,22.99,4.72,7.92,68.38,31.05,48.46,1,0,0,0,1,0
62.38,7.13,262.84,6.77,2.28,3.62,30.18,33.82,40.83,1,0,1,0,0,0
94.03,4.76,1607.17,5.17,0.84,3.67,61.24,47.19,67.31,1,0,1,0,0,0
104.95,4.0,1878.58,14.59,2.82,0.54,63.73,56.23,55.21,0,0,0,1,0,0
95.96,3.4,534.85,9.36,2.1,0.8,77.78,43.92,74.9,1,0,1,0,0,0
